,Prognozuojamas nacionalinis elektros energijos suvartojimas,Planuojamas nacionalinis elektros energijos suvartojimas,Faktinis nacionalinis Elektros energijos vartojimas
2023-01-01 00:00:00,1064,1067.649,1040.246
2023-01-01 01:00:00,1022,1006.291,1029.565
2023-01-01 02:00:00,983,982.175,978.868
2023-01-01 03:00:00,957,953.674,947.675
2023-01-01 04:00:00,937,940.174,937.409
2023-01-01 05:00:00,935,957.616,933.605
2023-01-01 06:00:00,959,1002.369,961.825
2023-01-01 07:00:00,1008,1007.922,981.961
2023-01-01 08:00:00,1089,1042.868,981.989
2023-01-01 09:00:00,1161,1073.481,999.68
2023-01-01 10:00:00,1198,1125.728,1046.176
2023-01-01 11:00:00,1228,1147.208,1073.069
2023-01-01 12:00:00,1220,1169.316,1106.388
2023-01-01 13:00:00,1205,1096.895,1124.165
2023-01-01 14:00:00,1202,1094.955,1145.207
2023-01-01 15:00:00,1207,1106.546,1164.539
2023-01-01 16:00:00,1274,1212.615,1229.073
2023-01-01 17:00:00,1316,1270.213,1266.613
2023-01-01 18:00:00,1297,1241.17,1262.839
2023-01-01 19:00:00,1256,1231.328,1250.6
2023-01-01 20:00:00,1232,1195.615,1219.349
2023-01-01 21:00:00,1190,1082.166,1178.601
2023-01-01 22:00:00,1120,1023.795,1105.541
2023-01-01 23:00:00,1052,938.229,1021.821
2023-01-02 00:00:00,1026,875.091,972.457
2023-01-02 01:00:00,1001,978.977,931.687
2023-01-02 02:00:00,967,971.906,907.812
2023-01-02 03:00:00,961,973.736,899.207
2023-01-02 04:00:00,972,982.509,920.458
2023-01-02 05:00:00,1027,1041.558,965.289
2023-01-02 06:00:00,1206,1217.205,1132.083
2023-01-02 07:00:00,1351,1385.057,1299.795
2023-01-02 08:00:00,1484,1507.554,1427.556
2023-01-02 09:00:00,1541,1554.695,1471.805
2023-01-02 10:00:00,1567,1575.731,1498.29
2023-01-02 11:00:00,1572,1583.654,1531.027
2023-01-02 12:00:00,1575,1555.681,1535.429
2023-01-02 13:00:00,1586,1570.248,1566.284
2023-01-02 14:00:00,1577,1558.772,1557.231
2023-01-02 15:00:00,1566,1548.108,1552.763
2023-01-02 16:00:00,1594,1568.319,1574.63
2023-01-02 17:00:00,1590,1554.695,1572.686
2023-01-02 18:00:00,1562,1510.574,1539.825
2023-01-02 19:00:00,1500,1462.092,1491.445
2023-01-02 20:00:00,1445,1421.291,1406.966
2023-01-02 21:00:00,1371,1321.42,1346.048
2023-01-02 22:00:00,1258,1217.627,1235.621
2023-01-02 23:00:00,1172,1089.188,1139.637
2023-01-03 00:00:00,1062,1016.817,1056.913
2023-01-03 01:00:00,1010,1007.194,1018.573
2023-01-03 02:00:00,992,973.753,1000.023
2023-01-03 03:00:00,988,963.199,993.92
2023-01-03 04:00:00,1003,980.036,1001.854
2023-01-03 05:00:00,1062,1034.606,1063.55
2023-01-03 06:00:00,1206,1206.889,1228.152
2023-01-03 07:00:00,1361,1366.856,1391.573
2023-01-03 08:00:00,1493,1496.234,1512.931
2023-01-03 09:00:00,1554,1523.264,1559.485
2023-01-03 10:00:00,1588,1518.204,1586.327
2023-01-03 11:00:00,1600,1542.772,1588.159
2023-01-03 12:00:00,1607,1521.155,1603.459
2023-01-03 13:00:00,1611,1524.774,1609.34
2023-01-03 14:00:00,1605,1518.514,1605.617
2023-01-03 15:00:00,1601,1528.409,1576.808
2023-01-03 16:00:00,1634,1557.627,1604.913
2023-01-03 17:00:00,1640,1596.208,1622.827
2023-01-03 18:00:00,1599,1568.754,1591.536
2023-01-03 19:00:00,1550,1511.407,1546.836
2023-01-03 20:00:00,1490,1433.079,1500.72
2023-01-03 21:00:00,1410,1384.99,1416.207
2023-01-03 22:00:00,1306,1277.464,1311.797
2023-01-03 23:00:00,1226,1183.336,1207.423
2023-01-04 00:00:00,1113,1116.081,1135.944
2023-01-04 01:00:00,1070,1069.779,1095.819
2023-01-04 02:00:00,1052,1056.972,1072.843
2023-01-04 03:00:00,1047,1065.98,1043.151
2023-01-04 04:00:00,1059,1081.773,1054.808
2023-01-04 05:00:00,1114,1128.668,1117.152
2023-01-04 06:00:00,1282,1279.242,1293.848
2023-01-04 07:00:00,1448,1420.585,1480.837
2023-01-04 08:00:00,1588,1542.608,1614.226
2023-01-04 09:00:00,1643,1584.842,1685.698
2023-01-04 10:00:00,1679,1616.983,1727.518
2023-01-04 11:00:00,1687,1673.154,1747.173
2023-01-04 12:00:00,1677,1660.062,1732.229
2023-01-04 13:00:00,1682,1642.841,1731.778
2023-01-04 14:00:00,1665,1650.926,1709.866
2023-01-04 15:00:00,1658,1654.025,1702.201
2023-01-04 16:00:00,1687,1692.436,1720.759
2023-01-04 17:00:00,1696,1672.363,1719.652
2023-01-04 18:00:00,1664,1628.32,1681.329
2023-01-04 19:00:00,1614,1555.245,1640.178
2023-01-04 20:00:00,1556,1489.738,1576.255
2023-01-04 21:00:00,1468,1406.543,1494.507
2023-01-04 22:00:00,1355,1326.086,1388.53
2023-01-04 23:00:00,1260,1205.023,1271.114
2023-01-05 00:00:00,1202,1129.242,1206.848
2023-01-05 01:00:00,1149,1107.553,1167.201
2023-01-05 02:00:00,1126,1076.941,1146.907
2023-01-05 03:00:00,1110,1043.501,1136.18
2023-01-05 04:00:00,1107,1070.076,1136.271
2023-01-05 05:00:00,1153,1117.94,1185.114
2023-01-05 06:00:00,1322,1279.471,1354.39
2023-01-05 07:00:00,1503,1474.839,1513.043
2023-01-05 08:00:00,1646,1630.173,1639.76
2023-01-05 09:00:00,1712,1675.808,1665.371
2023-01-05 10:00:00,1731,1716.423,1696.75
2023-01-05 11:00:00,1750,1725.53,1713.227
2023-01-05 12:00:00,1754,1723.681,1711.032
2023-01-05 13:00:00,1772,1732.219,1732.648
2023-01-05 14:00:00,1752,1718.961,1725.279
2023-01-05 15:00:00,1751,1699.706,1739.085
2023-01-05 16:00:00,1787,1729.134,1738.525
2023-01-05 17:00:00,1787,1734.123,1739.715
2023-01-05 18:00:00,1750,1684.335,1700.091
2023-01-05 19:00:00,1704,1655.06,1648.588
2023-01-05 20:00:00,1660,1574.635,1586.839
2023-01-05 21:00:00,1566,1535.043,1520.638
2023-01-05 22:00:00,1470,1416.348,1420.401
2023-01-05 23:00:00,1364,1324.144,1315.186
2023-01-06 00:00:00,1259,1281.9,1249.569
2023-01-06 01:00:00,1213,1240.118,1217.914
2023-01-06 02:00:00,1202,1201.163,1202.11
2023-01-06 03:00:00,1203,1187.05,1178.39
2023-01-06 04:00:00,1220,1197.982,1211.462
2023-01-06 05:00:00,1294,1259.769,1274.398
2023-01-06 06:00:00,1501,1451.073,1440.979
2023-01-06 07:00:00,1677,1603.892,1623.098
2023-01-06 08:00:00,1819,1751.475,1758.707
2023-01-06 09:00:00,1878,1779.599,1858.325
2023-01-06 10:00:00,1889,1827.529,1904.586
2023-01-06 11:00:00,1893,1826.594,1918.673
2023-01-06 12:00:00,1885,1805.953,1934.089
2023-01-06 13:00:00,1889,1797.367,1944.623
2023-01-06 14:00:00,1870,1766.967,1894.593
2023-01-06 15:00:00,1863,1753.177,1832.189
2023-01-06 16:00:00,1879,1807.846,1845.964
2023-01-06 17:00:00,1885,1811.534,1879.279
2023-01-06 18:00:00,1861,1744.074,1830.598
2023-01-06 19:00:00,1796,1709.902,1776.548
2023-01-06 20:00:00,1732,1626.393,1708.294
2023-01-06 21:00:00,1647,1554.095,1619.939
2023-01-06 22:00:00,1539,1460.675,1518.593
2023-01-06 23:00:00,1438,1353.991,1420.239
2023-01-07 00:00:00,1348,1239.592,1353.11
2023-01-07 01:00:00,1307,1156.235,1305.316
2023-01-07 02:00:00,1271,1136.338,1274.257
2023-01-07 03:00:00,1255,1134.178,1261.108
2023-01-07 04:00:00,1259,1131.97,1252.402
2023-01-07 05:00:00,1272,1148.34,1277.529
2023-01-07 06:00:00,1336,1236.497,1349.031
2023-01-07 07:00:00,1404,1314.101,1419.836
2023-01-07 08:00:00,1478,1377.216,1488.462
2023-01-07 09:00:00,1566,1482.982,1569.745
2023-01-07 10:00:00,1632,1539.674,1645.13
2023-01-07 11:00:00,1668,1570.008,1679.342
2023-01-07 12:00:00,1671,1568.34,1682.04
2023-01-07 13:00:00,1665,1589.225,1673.54
2023-01-07 14:00:00,1647,1576.952,1651.871
2023-01-07 15:00:00,1634,1566.853,1635.983
2023-01-07 16:00:00,1681,1628.252,1669.95
2023-01-07 17:00:00,1713,1647.58,1699.614
2023-01-07 18:00:00,1686,1579.5,1669.595
2023-01-07 19:00:00,1639,1620.261,1629.021
2023-01-07 20:00:00,1573,1537.018,1570.387
2023-01-07 21:00:00,1511,1466.391,1494.097
2023-01-07 22:00:00,1432,1345.826,1403.314
2023-01-07 23:00:00,1336,1283.929,1325.154
2023-01-08 00:00:00,1307,1191.25,1262.628
